COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,AstraZeneca - AZD1222,Gamaleya - Sputnik V,Moderna - mRNA-1273,CanSino - Ad5-nCOV,Bharat - Covaxin,Beijing CNBG - Inactivated,QazVac, Sinopharm/HayatVax,AstraZeneca - Vaxzevria, ZF2001,Wuhan CNBG - Inactivated,,VACCINES_USED,,,,,,,,
Guernsey,GGY,EURO,OWID,17-09-21,101487,,157.422,,,,,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,
Guinea,GIN,AFRO,REPORTING,19-09-21,1444789,993156,11.001,7.562,451633,3.439,05-03-21,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,
Guinea-Bissau,GNB,AFRO,REPORTING,17-09-21,83294,76511,4.232,3.888,6783,0.345,02-04-21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,
Guyana,GUY,AMRO,REPORTING,17-09-21,518295,341600,65.895,43.43,176695,22.465,11-02-21,6,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,,,
Haiti,HTI,AMRO,REPORTING,17-09-21,57341,40198,0.503,0.353,17484,0.153,,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,,,,,,,
Honduras,HND,AMRO,REPORTING,17-09-21,4381368,2590970,44.236,26.159,1790773,18.08,26-02-21,6,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,,,
Hungary,HUN,EURO,OWID,16-09-21,,5855039,,59.932,5564586,56.959,,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V,,,
Iceland,ISL,EURO,OWID,17-09-21,547788,281141,150.436,77.208,274175,75.295,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
India,IND,SEARO,REPORTING,14-09-21,752238324,570511241,54.51,41.341,181727083,13.169,16-01-21,5,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,SII - Covishield,,,,
Indonesia,IDN,SEARO,REPORTING,14-09-21,117597616,74818286,42.994,27.354,42779330,15.64,13-01-21,5,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,
Iran (Islamic Republic of),IRN,EMRO,REPORTING,20-09-21,43372270,29526662,51.638,35.154,13961491,16.622,09-02-21,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,,,,,
Iraq,IRQ,EMRO,REPORTING,11-09-21,6672182,4203578,16.588,10.451,2468604,6.137,02-03-21,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,,,,,
Ireland,IRL,EURO,OWID,17-09-21,7105991,3748307,143.138,75.503,3592454,72.364,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Isle of Man,IMN,EURO,OWID,16-09-21,128915,65430,151.608,76.948,63485,74.66,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,,
Israel,ISR,EURO,OWID,18-09-21,14671507,6061753,169.504,70.033,5575391,64.414,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty,,,,,,,
Italy,ITA,EURO,OWID,18-09-21,82278770,44217710,137.956,74.139,39524066,66.269,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Jamaica,JAM,AMRO,REPORTING,17-09-21,699529,503845,23.623,17.015,214971,7.26,10-03-21,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,SII - Covishield,,,,,,
Japan,JPN,WPRO,REPORTING,12-09-21,144312589,79835876,114.102,63.123,64476713,50.979,17-02-21,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty,,,,,
Jersey,JEY,EURO,OWID,12-09-21,150379,76818,139.503,71.262,73561,68.241,,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,
Jordan,JOR,EMRO,REPORTING,19-09-21,6805103,3630190,66.696,35.579,3174913,31.117,13-01-21,6,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,
Kazakhstan,KAZ,EURO,OWID,18-09-21,13368189,7259649,71.196,38.663,6108540,32.533,,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,QazVac, Sinopharm/HayatVax, Gamaleya - Sputnik V,,,,,,
Kenya,KEN,AFRO,REPORTING,18-09-21,3351109,2492173,6.232,4.635,858936,1.597,05-03-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Kiribati,KIR,WPRO,REPORTING,10-09-21,36258,29429,30.354,24.637,6829,5.717,26-05-21,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,,,,,,,
Kosovo,XKX,EURO,OWID,18-09-21,1147803,722252,63.921,40.222,425551,23.699,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,,
Kuwait,KWT,EMRO,REPORTING,04-08-21,2380000,,55.73,,,,28-12-20,5,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,
Kyrgyzstan,KGZ,EURO,OWID,18-09-21,1331001,764781,20.401,11.722,561853,8.612,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,Beijing CNBG - Inactivated, Gamaleya - Sputnik V,,,,,,,
Lao People's Democratic Republic,LAO,WPRO,REPORTING,11-09-21,3664650,2656850,50.369,36.517,1857709,25.534,25-11-20,7,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,
Latvia,LVA,EURO,OWID,17-09-21,1580201,888910,82.834,46.597,802871,42.086,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Lebanon,LBN,EMRO,REPORTING,20-09-21,2929966,1608545,42.927,23.567,1321421,19.36,14-02-21,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,,,,,
Lesotho,LSO,AFRO,REPORTING,20-09-21,332954,249173,15.542,11.631,238727,11.144,10-03-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Liberia,LBR,AFRO,REPORTING,15-09-21,215993,86288,4.271,1.706,129705,2.565,01-04-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Libya,LBY,EMRO,REPORTING,19-09-21,1464304,1305045,21.31,18.993,159259,2.318,11-04-21,7,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,
Liechtenstein,LIE,OTHER,OWID,16-09-21,44789,23699,115.593,61.163,21383,55.186,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty,,,,,,,
Lithuania,LTU,EURO,OWID,18-09-21,3317832,1721361,118.745,61.607,1596471,57.137,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Luxembourg,LUX,EURO,OWID,12-09-21,779620,416918,124.518,66.589,,,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Madagascar,MDG,AFRO,REPORTING,20-09-21,381633,197001,1.378,0.711,184632,0.667,10-05-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Malawi,MWI,AFRO,REPORTING,16-09-21,1027308,733157,5.37,3.833,466208,2.437,11-03-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Malaysia,MYS,WPRO,REPORTING,10-09-21,37395688,21080152,115.54,65.131,16680780,51.538,24-02-21,5,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,
Maldives,MDV,SEARO,REPORTING,12-09-21,710805,389235,131.498,72.008,321570,59.49,01-02-21,8,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,
Mali,MLI,AFRO,REPORTING,20-09-21,396027,309550,1.956,1.529,86477,0.427,31-03-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Malta,MLT,EURO,OWID,17-09-21,811183,418618,157.645,81.354,418036,81.241,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Marshall Islands,MHL,WPRO,REPORTING,14-09-21,38923,21704,65.755,36.666,19017,32.127,29-12-20,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,,
Martinique,MTQ,AMRO,REPORTING,17-09-21,202715,114562,54.019,30.528,88153,23.491,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Pfizer BioNTech - Comirnaty,,,,,,,,
Mauritania,MRT,AFRO,REPORTING,19-09-21,872614,315182,18.767,6.779,557432,11.989,26-03-21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,
Mauritius,MUS,AFRO,REPORTING,06-09-21,1483840,787076,116.675,61.888,696764,54.787,26-01-21,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield,,,,,,
Mexico,MEX,AMRO,REPORTING,17-09-21,94144251,61573170,73.018,47.756,40997724,31.798,24-12-20,7,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,
Micronesia (Federated States of),FSM,WPRO,REPORTING,14-09-21,67963,43235,59.086,37.588,35957,31.261,13-01-21,4,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,
Monaco,MCO,EURO,OWID,16-09-21,49980,26672,127.357,67.965,23308,59.393,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Pfizer BioNTech - Comirnaty,,,,,,,,
Mongolia,MNG,WPRO,REPORTING,10-09-21,4545348,2245997,138.65,68.511,2112809,64.449,23-02-21,6,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,,,
Montenegro,MNE,EURO,OWID,17-09-21,432167,229399,68.81,36.525,202768,32.285,,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V,,,,,
Montserrat,MSR,AMRO,REPORTING,17-09-21,2856,1472,57.131,29.446,1384,27.686,08-02-21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,,,,,,,,
Morocco,MAR,EMRO,REPORTING,19-09-21,38436040,21006394,104.133,56.912,17429646,47.221,28-01-21,5,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,,,,
Mozambique,MOZ,AFRO,REPORTING,14-09-21,3644423,1903730,11.66,6.091,1740693,5.569,08-03-21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,
Myanmar,MMR,SEARO,REPORTING,11-09-21,8184418,4944654,15.042,9.088,3239764,5.954,27-01-21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,
Namibia,NAM,AFRO,REPORTING,17-09-21,297066,238724,11.691,9.395,150611,5.927,19-03-21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,
Nauru,NRU,WPRO,REPORTING,20-08-21,14790,7612,136.515,70.26,7178,66.254,09-04-21,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,SII - Covishield,,,,,,,
Nepal,NPL,SEARO,REPORTING,13-09-21,11032131,5833938,37.863,20.023,5198193,17.841,27-01-21,6,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,SII - Covishield,,,
Netherlands,NLD,EURO,OWID,18-09-21,22196529,12068854,127.511,69.331,10924705,62.758,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
New Caledonia,NCL,WPRO,REPORTING,11-09-21,175794,100429,61.575,35.177,75365,26.398,20-01-21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Pfizer BioNTech - Comirnaty,,,,,,,,
New Zealand,NZL,WPRO,REPORTING,10-09-21,4229686,2803535,87.712,58.138,1426151,29.574,19-02-21,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Novavax - Covavax,Pfizer BioNTech - Comirnaty,,,,,
Nicaragua,NIC,AMRO,REPORTING,17-09-21,769105,490472,11.61,7.404,278633,4.206,02-03-21,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,SII - Covishield,,,,,,
Niger,NER,AFRO,REPORTING,20-09-21,512294,405918,2.116,1.677,106376,0.439,29-03-21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,SII - Covishield,,,,,,,
Nigeria,NGA,AFRO,REPORTING,19-09-21,6186647,4415507,3.001,2.142,1771140,0.859,05-03-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Niue,NIU,WPRO,REPORTING,02-08-21,2352,1202,145.365,74.289,1150,71.075,08-06-21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Pfizer BioNTech - Comirnaty,,,,,,,,
North Macedonia,MKD,EURO,OWID,17-09-21,1435392,767653,68.897,36.847,667739,32.051,,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Sinovac - CoronaVac, Gamaleya - Sputnik V,,,,
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,10-09-21,68474,35268,118.967,61.275,33978,59.034,19-12-20,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,,
Norway,NOR,EURO,OWID,16-09-21,7586705,4046955,141.343,75.396,3539750,65.947,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty,,,,,,,
occupied Palestinian territory,PSE,EMRO,REPORTING,06-09-21,1206277,741385,23.646,14.533,464892,9.113,02-02-21,7,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,
Oman,OMN,EMRO,REPORTING,20-09-21,4636486,2810262,90.794,55.032,1826224,35.762,29-12-20,5,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,
Pakistan,PAK,EMRO,REPORTING,20-09-21,73941358,30170721,33.474,13.659,24768158,11.213,03-02-21,8,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,
Palau,PLW,WPRO,REPORTING,14-09-21,29734,17177,164.349,94.943,14854,82.103,03-01-21,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,,
Panama,PAN,AMRO,REPORTING,17-09-21,5252959,2907280,121.744,67.38,2345679,54.364,20-01-21,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,,,,,,,
Papua New Guinea,PNG,WPRO,REPORTING,13-09-21,164776,119996,1.842,1.341,45074,0.504,30-03-21,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield,,,,,
Paraguay,PRY,AMRO,REPORTING,17-09-21,4401222,2550991,61.706,35.766,1850231,25.941,22-02-21,7,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,
Peru,PER,AMRO,REPORTING,17-09-21,22778732,13611549,69.085,41.282,9167183,27.803,09-02-21,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated,,,,,
Philippines,PHL,WPRO,REPORTING,09-09-21,37728114,25195827,34.429,22.993,16138934,14.728,01-03-21,9,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac
Pitcairn Islands,PCN,WPRO,REPORTING,22-07-21,73,37,146,74,36,72,17-05-21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,,,,,,,,
Poland,POL,EURO,OWID,17-09-21,36922081,19625034,97.271,51.702,19219358,50.633,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Portugal,PRT,EURO,OWID,14-09-21,15550992,8846756,151.04,85.925,8319395,80.803,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Puerto Rico,PRI,AMRO,REPORTING,17-09-21,4508079,2483873,157.578,86.823,2153540,75.276,,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,,
Qatar,QAT,EMRO,REPORTING,19-09-21,4658268,2134729,161.686,74.095,1816789,63.06,23-12-20,4,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,
Republic of Korea,KOR,WPRO,REPORTING,13-09-21,51832703,33130333,101.099,64.62,20036176,39.08,26-02-21,5,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty,,,,
Republic of Moldova,MDA,EURO,OWID,18-09-21,1359731,,33.707,,752255,18.648,,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V,,,,
Romania,ROU,EURO,OWID,17-09-21,9925785,5357532,51.352,27.718,5246397,27.143,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Russian Federation,RUS,EURO,OWID,17-09-21,87267626,46745074,59.799,32.032,40522552,27.768,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SRCVB - EpiVacCorona, Gamaleya - Sputnik V,,,,,,,
Rwanda,RWA,AFRO,REPORTING,19-09-21,3340448,1836045,25.791,14.176,1368758,10.568,14-02-21,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,
Saba,XCA,AMRO,REPORTING,17-09-21,1300,,67.253,,1300,67.253,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Saint Helena,SHN,AFRO,OWID,05-05-21,7892,4361,129.995,71.833,3531,58.162,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AstraZeneca - AZD1222,,,,,,,,
Saint Kitts and Nevis,KNA,AMRO,REPORTING,17-09-21,46884,24968,88.141,46.939,21916,41.202,22-02-21,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,
Saint Lucia,LCA,AMRO,REPORTING,17-09-21,71517,42594,38.947,23.196,28923,15.751,17-02-21,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,,
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,17-09-21,32626,19722,29.409,17.777,12904,11.632,01-02-21,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,
Samoa,WSM,WPRO,REPORTING,10-09-21,142216,96865,71.676,48.82,45351,22.857,18-04-21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,,,,,,,,
San Marino,SMR,EURO,OWID,13-09-21,46917,24329,138.243,71.687,24329,71.687,,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Pfizer BioNTech - Comirnaty, Gamaleya - Sputnik V,,,,,,,
Sao Tome and Principe,STP,AFRO,REPORTING,17-09-21,65542,51447,29.906,23.475,14095,6.431,15-03-21,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,SII - Covishield,,,,,,,
