COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,AstraZeneca - AZD1222,Gamaleya - Sputnik V,Moderna - mRNA-1273,CanSino - Ad5-nCOV,Bharat - Covaxin,Beijing CNBG - Inactivated,QazVac, Sinopharm/HayatVax,AstraZeneca - Vaxzevria, ZF2001,Wuhan CNBG - Inactivated,,VACCINES_USED,,,,,,,,
Belarus,BLR,EURO,OWID,12-09-21,3206505,1751254,33.934,18.533,1455251,15.401,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,Beijing CNBG - Inactivated, Gamaleya - Sputnik V,,,,,,,
Belgium,BEL,EURO,OWID,16-09-21,16442235,8515499,142.698,73.904,8297278,72.01,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Belize,BLZ,AMRO,REPORTING,17-09-21,270742,184312,68.089,46.353,91744,23.073,01-03-21,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,
Benin,BEN,AFRO,REPORTING,20-09-21,214396,60926,1.768,0.503,153470,1.266,29-03-21,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,Sinovac - CoronaVac,,,,,,,
Bermuda,BMU,AMRO,REPORTING,17-09-21,86194,43549,138.413,69.932,42645,68.481,11-01-21,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,,,,,,,
Bhutan,BTN,SEARO,REPORTING,12-09-21,1046117,567220,135.576,73.511,478897,62.065,27-03-21,5,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,17-09-21,6363625,4169194,54.516,35.716,3028636,25.946,30-01-21,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,
Bonaire,XAA,AMRO,REPORTING,17-09-21,29255,15595,139.876,74.564,13660,65.312,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,09-04-21,7391,5726,28.441,22.034,2965,11.41,22-02-21,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,,,
Bosnia and Herzegovina,BIH,EURO,OWID,07-09-21,1060145,634063,32.313,19.326,426082,12.987,,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V,,,,,
