COUNTRY,WHO_REGION,TOTAL_VACCINATIONS_PER100
Tuvalu,WPRO,92.105
Uganda,AFRO,3.592
Ukraine,EURO,26.711
United Arab Emirates,EMRO,199.319
Tanzania,AFRO,0.653
United States of America,AMRO,117.503
Uruguay,AMRO,172.243
Uzbekistan,EURO,52.094
Vanuatu,WPRO,18.614
Venezuela,AMRO,39.015
Vietnam,WPRO,26.636
Wallis and Futuna,WPRO,88.049
Yemen,EMRO,1.083
Zambia,AFRO,3.793
Zimbabwe,AFRO,33.938
